date,node_id,day_of_simulation,time_of_day_min,pH,temperature_C,TDS_mgl,DO_mgl,label
2024-01-01,NODE_01,1,500,7.56,22.36,177,6.99,0
2024-01-01,NODE_01,1,510,8.0,22.35,177,2.28,1
2024-01-01,NODE_01,1,520,8.15,25.05,111,2.05,1
2024-01-01,NODE_01,1,530,7.73,23.66,178,2.1,1
2024-01-01,NODE_01,1,540,7.96,22.54,170,1.99,1
2024-01-01,NODE_01,1,550,8.05,23.37,172,2.68,1
2024-01-01,NODE_01,1,560,7.84,23.37,132,2.62,1
2024-01-01,NODE_01,1,570,7.53,23.22,136,6.4,0
2024-01-01,NODE_01,1,580,7.41,24.13,177,1.8,1
2024-01-01,NODE_01,1,590,7.81,25.88,178,5.63,0
2024-01-01,NODE_01,1,600,8.04,24.97,121,2.26,1
2024-01-01,NODE_01,1,610,8.16,25.46,184,2.46,1
2024-01-01,NODE_01,1,620,8.06,25.31,182,1.97,1
2024-01-01,NODE_01,1,630,7.59,22.33,183,2.26,1
2024-01-01,NODE_01,1,640,7.95,25.95,168,6.11,0
2024-01-01,NODE_01,1,650,7.84,24.99,172,3.26,1
2024-01-01,NODE_01,1,660,7.59,24.12,174,6.21,0
2024-01-01,NODE_01,1,670,7.85,27.5,186,4.8,0
2024-01-01,NODE_01,1,680,8.2,20.51,177,1.96,1
2024-01-01,NODE_01,1,690,7.9,25.04,165,5.07,0
2024-01-01,NODE_01,1,700,7.79,25.86,182,2.14,1
2024-01-01,NODE_01,1,710,7.85,26.63,131,2.37,1
2024-01-01,NODE_01,1,720,7.63,25.32,135,2.39,1
2024-01-01,NODE_01,1,730,7.96,24.8,147,2.63,1
2024-01-01,NODE_01,1,740,8.21,22.48,184,2.78,1
2024-01-01,NODE_01,1,750,8.06,24.92,137,7.4,0
2024-01-01,NODE_01,1,760,7.98,25.35,145,2.21,1
2024-01-01,NODE_01,1,770,8.03,24.19,178,1.66,1
2024-01-01,NODE_01,1,780,8.02,23.64,178,2.74,1
2024-01-01,NODE_01,1,790,7.39,22.27,141,1.73,1
2024-01-01,NODE_01,1,800,7.8,23.95,128,2.65,1
2024-01-01,NODE_01,1,810,7.96,25.85,190,2.13,1
2024-01-01,NODE_01,1,820,8.0,22.23,175,1.83,1
2024-01-01,NODE_01,1,830,7.66,23.61,178,2.24,1
2024-01-01,NODE_01,1,840,8.0,26.24,174,2.86,1
2024-01-01,NODE_01,1,850,8.0,23.51,185,2.01,1
2024-01-01,NODE_01,1,860,8.09,25.31,180,6.4,0
2024-01-01,NODE_01,1,870,8.14,24.09,133,2.82,1
2024-01-01,NODE_01,1,880,8.06,23.75,184,1.78,1
2024-01-01,NODE_01,1,890,8.38,22.83,175,1.83,1
2024-01-01,NODE_01,1,900,8.07,25.31,177,1.61,1
2024-01-01,NODE_01,1,910,8.07,24.5,179,6.03,0
2024-01-01,NODE_01,1,920,7.54,23.83,144,5.97,0
2024-01-01,NODE_01,1,930,7.69,24.5,174,6.29,0
2024-01-01,NODE_01,1,940,7.88,24.99,122,6.49,0
2024-01-01,NODE_01,1,950,8.09,20.88,190,1.39,1
2024-01-01,NODE_01,1,960,8.06,26.47,169,6.06,0
2024-01-01,NODE_01,1,970,8.03,25.17,122,2.13,1
2024-01-01,NODE_01,1,980,7.95,24.6,170,5.47,0
2024-01-01,NODE_01,1,990,7.68,23.01,158,6.99,0
2024-01-01,NODE_01,1,1000,8.01,23.27,179,6.71,0
2024-01-01,NODE_01,1,1010,8.27,22.67,174,1.64,1
2024-01-01,NODE_01,1,1020,7.31,22.63,127,2.27,1
2024-01-01,NODE_01,1,1030,8.3,21.81,185,2.51,1
2024-01-01,NODE_01,1,1040,8.14,21.59,177,2.49,1
2024-01-01,NODE_01,1,1050,8.2,25.5,123,2.63,1
2024-01-01,NODE_01,1,1060,7.97,23.52,171,1.73,1
2024-01-01,NODE_01,1,1070,7.9,23.24,138,2.83,1
2024-01-01,NODE_01,1,1080,7.85,24.64,174,1.79,1
2024-01-01,NODE_01,1,1090,7.85,23.57,132,2.24,1
2024-01-01,NODE_01,1,1100,7.14,24.45,177,2.19,1
2024-01-01,NODE_01,1,1110,7.76,25.86,172,5.93,0
2024-01-01,NODE_01,1,1120,7.44,21.48,183,2.54,1
2024-01-01,NODE_01,1,1130,7.99,24.01,181,2.32,1
2024-01-01,NODE_01,1,1140,7.92,24.2,144,2.16,1
2024-01-01,NODE_01,1,1150,7.74,25.31,176,4.39,0
2024-01-01,NODE_01,1,1160,7.97,23.8,142,2.85,1
2024-01-01,NODE_01,1,1170,7.61,25.16,190,2.52,1
2024-01-01,NODE_01,1,1180,7.92,25.85,174,5.8,0
2024-01-01,NODE_01,1,1190,7.54,24.79,141,6.56,0
2024-01-01,NODE_01,1,1200,7.77,26.47,173,5.29,0
2024-01-01,NODE_01,1,1210,7.83,25.33,183,6.26,0
2024-01-01,NODE_01,1,1220,7.87,24.51,176,1.72,1
2024-01-01,NODE_01,1,1230,7.44,24.79,177,6.44,0
2024-01-01,NODE_01,1,1240,8.11,23.71,136,2.02,1
2024-01-01,NODE_01,1,1250,7.53,24.97,125,2.79,1
2024-01-01,NODE_01,1,1260,7.94,21.38,135,2.61,1
2024-01-01,NODE_01,1,1270,7.99,24.49,129,6.98,0
2024-01-01,NODE_01,1,1280,7.76,25.42,178,6.32,0
2024-01-01,NODE_01,1,1290,8.0,24.54,134,1.92,1
2024-01-01,NODE_01,1,1300,7.83,22.06,184,1.49,1
2024-01-01,NODE_01,1,1310,8.0,25.51,179,1.89,1
2024-01-01,NODE_01,1,1320,7.98,25.62,175,1.55,1
2024-01-01,NODE_01,1,1330,7.8,27.5,175,2.82,1
2024-01-01,NODE_01,1,1340,7.64,25.09,187,2.32,1
2024-01-01,NODE_01,1,1350,8.44,23.07,150,2.82,1
2024-01-01,NODE_01,1,1360,7.97,25.0,178,2.29,1
2024-01-01,NODE_01,1,1370,7.98,27.01,188,4.86,0
2024-01-01,NODE_01,1,1380,7.94,24.8,133,6.43,0
2024-01-01,NODE_01,1,1390,7.57,23.24,174,6.04,0
2024-01-01,NODE_01,1,1400,8.14,24.37,176,2.49,1
2024-01-01,NODE_01,1,1410,7.7,24.74,130,2.15,1
2024-01-01,NODE_01,1,1420,7.82,24.72,139,2.2,1
2024-01-01,NODE_01,1,1430,7.29,24.25,176,6.09,0
2024-01-02,NODE_01,2,0,7.89,23.77,175,2.3,1
2024-01-02,NODE_01,2,10,7.35,22.38,188,1.98,1
2024-01-02,NODE_01,2,20,7.85,24.23,178,1.9,1
2024-01-02,NODE_01,2,30,7.96,24.21,175,2.18,1
2024-01-02,NODE_01,2,40,7.85,23.26,177,1.82,1
2024-01-02,NODE_01,2,50,7.9,22.32,124,2.0,1
2024-01-02,NODE_01,2,60,7.25,24.81,145,5.42,0
2024-01-02,NODE_01,2,70,7.86,22.7,178,2.72,1
2024-01-02,NODE_01,2,80,7.93,24.23,141,2.34,1
2024-01-02,NODE_01,2,90,7.93,26.13,185,2.05,1
2024-01-02,NODE_01,2,100,7.59,23.53,169,2.25,1
2024-01-02,NODE_01,2,110,8.14,23.26,124,2.11,1
2024-01-02,NODE_01,2,120,7.89,24.8,178,1.93,1
2024-01-02,NODE_01,2,130,7.82,22.38,135,2.38,1
2024-01-02,NODE_01,2,140,7.98,22.55,175,2.72,1
2024-01-02,NODE_01,2,150,7.73,24.24,178,5.68,0
2024-01-02,NODE_01,2,160,7.76,21.23,181,2.07,1
2024-01-02,NODE_01,2,170,8.1,22.45,181,2.05,1
2024-01-02,NODE_01,2,180,8.29,23.27,110,2.35,1
2024-01-02,NODE_01,2,190,8.1,24.78,183,2.49,1
2024-01-02,NODE_01,2,200,7.86,23.78,182,2.06,1
2024-01-02,NODE_01,2,210,7.96,22.47,176,7.18,0
2024-01-02,NODE_01,2,220,8.06,24.81,187,6.09,0
2024-01-02,NODE_01,2,230,8.05,24.24,120,2.32,1
2024-01-02,NODE_01,2,240,8.09,25.28,188,1.36,1
2024-01-02,NODE_01,2,250,7.87,23.19,183,6.67,0
2024-01-02,NODE_01,2,260,7.67,23.21,179,2.36,1
2024-01-02,NODE_01,2,270,7.97,24.7,178,2.52,1
2024-01-02,NODE_01,2,280,7.69,23.41,179,2.8,1
2024-01-02,NODE_01,2,290,7.45,24.61,151,5.92,0
2024-01-02,NODE_01,2,300,7.7,24.07,140,2.08,1
2024-01-02,NODE_01,2,310,8.06,25.83,171,2.12,1
2024-01-02,NODE_01,2,320,7.63,27.45,179,5.66,0
2024-01-02,NODE_01,2,330,7.78,24.87,168,5.26,0
2024-01-02,NODE_01,2,340,7.38,23.02,189,2.77,1
2024-01-02,NODE_01,2,350,7.41,24.35,145,6.07,0
2024-01-02,NODE_01,2,360,8.06,26.18,139,2.77,1
2024-01-02,NODE_01,2,370,7.06,22.22,172,2.55,1
2024-01-02,NODE_01,2,380,7.85,25.26,137,2.5,1
2024-01-02,NODE_01,2,390,7.41,23.24,140,6.23,0
2024-01-02,NODE_01,2,400,7.31,26.67,186,6.26,0
2024-01-02,NODE_01,2,410,8.11,25.08,180,5.75,0
2024-01-02,NODE_01,2,420,7.53,20.51,122,2.63,1
2024-01-02,NODE_01,2,430,8.09,23.82,122,2.68,1
2024-01-02,NODE_01,2,440,7.94,26.02,176,6.01,0
2024-01-02,NODE_01,2,450,7.97,22.36,180,2.2,1
2024-01-02,NODE_01,2,460,7.96,20.51,187,2.33,1
2024-01-02,NODE_01,2,470,7.84,22.89,178,2.34,1
2024-01-02,NODE_01,2,480,7.91,24.13,183,1.99,1
2024-01-02,NODE_01,2,490,7.88,25.61,190,2.54,1
2024-01-02,NODE_01,2,500,8.04,23.45,174,2.21,1
2024-01-02,NODE_01,2,510,7.73,23.24,146,2.21,1
2024-01-02,NODE_01,2,520,7.9,26.19,172,6.74,0
2024-01-02,NODE_01,2,530,7.9,25.33,175,2.16,1
2024-01-02,NODE_01,2,540,8.01,23.27,177,2.33,1
2024-01-02,NODE_01,2,550,7.63,22.9,175,7.22,0
2024-01-02,NODE_01,2,560,7.98,25.2,175,2.12,1
2024-01-02,NODE_01,2,570,8.25,25.01,177,1.89,1
2024-01-02,NODE_01,2,580,7.97,23.67,177,5.64,0
2024-01-02,NODE_01,2,590,7.83,24.77,139,3.02,1
2024-01-02,NODE_01,2,600,7.8,24.56,180,4.49,0
2024-01-02,NODE_01,2,610,7.28,24.59,184,5.85,0
2024-01-02,NODE_01,2,620,7.8,23.74,180,2.23,1
2024-01-02,NODE_01,2,630,7.97,23.43,182,2.44,1
2024-01-02,NODE_01,2,640,8.21,23.81,172,1.24,1
2024-01-02,NODE_01,2,650,8.04,23.74,175,1.99,1
2024-01-02,NODE_01,2,660,7.96,26.37,182,2.01,1
2024-01-02,NODE_01,2,670,7.77,23.73,173,1.88,1
2024-01-02,NODE_01,2,680,7.25,22.89,182,2.66,1
2024-01-02,NODE_01,2,690,8.08,23.83,132,2.46,1
2024-01-02,NODE_01,2,700,8.37,22.51,172,2.39,1
2024-01-02,NODE_01,2,710,8.04,24.93,130,2.45,1
2024-01-02,NODE_01,2,720,7.44,23.07,144,5.41,0
2024-01-02,NODE_01,2,730,7.59,23.97,143,2.26,1
2024-01-02,NODE_01,2,740,7.95,24.99,135,1.96,1
2024-01-02,NODE_01,2,750,7.99,25.16,180,2.51,1
2024-01-02,NODE_01,2,760,7.53,23.4,175,2.22,1
2024-01-02,NODE_01,2,770,7.94,23.38,172,5.97,0
2024-01-02,NODE_01,2,780,7.72,26.81,180,5.31,0
2024-01-02,NODE_01,2,790,8.1,23.49,126,7.01,0
2024-01-02,NODE_01,2,800,7.97,24.39,178,2.08,1
2024-01-02,NODE_01,2,810,8.0,23.08,140,3.18,1
2024-01-02,NODE_01,2,820,7.91,23.58,176,2.78,1
2024-01-02,NODE_01,2,830,7.96,20.81,190,2.29,1
2024-01-02,NODE_01,2,840,8.01,25.4,179,2.83,1
2024-01-02,NODE_01,2,850,8.22,24.84,178,1.92,1
2024-01-02,NODE_01,2,860,7.37,22.25,187,1.5,1
2024-01-02,NODE_01,2,870,7.67,24.38,178,5.3,0
2024-01-02,NODE_01,2,880,7.73,26.77,176,1.72,1
2024-01-02,NODE_01,2,890,7.79,23.65,138,2.83,1
2024-01-02,NODE_01,2,900,7.93,23.86,175,6.26,0
2024-01-02,NODE_01,2,910,7.38,25.37,179,2.42,1
2024-01-02,NODE_01,2,920,8.08,24.81,146,2.51,1
2024-01-02,NODE_01,2,930,8.02,24.2,181,2.28,1
2024-01-02,NODE_01,2,940,8.14,23.08,178,2.57,1
2024-01-02,NODE_01,2,950,7.83,23.34,174,1.73,1
2024-01-02,NODE_01,2,960,7.56,21.75,150,7.21,0
2024-01-02,NODE_01,2,970,8.05,25.43,139,2.62,1
2024-01-02,NODE_01,2,980,7.76,24.62,187,5.43,0
2024-01-02,NODE_01,2,990,8.06,25.15,128,2.1,1
2024-01-02,NODE_01,2,1000,7.68,24.26,170,6.57,0
2024-01-02,NODE_01,2,1010,7.87,25.56,174,4.23,0
2024-01-02,NODE_01,2,1020,8.28,25.82,112,2.2,1
2024-01-02,NODE_01,2,1030,7.48,23.21,127,6.21,0
2024-01-02,NODE_01,2,1040,7.6,24.51,187,2.35,1
2024-01-02,NODE_01,2,1050,8.05,25.62,180,5.32,0
2024-01-02,NODE_01,2,1060,7.97,27.5,176,4.77,0
2024-01-02,NODE_01,2,1070,7.28,25.7,160,2.62,1
2024-01-02,NODE_01,2,1080,8.01,26.23,174,5.41,0
2024-01-02,NODE_01,2,1090,8.01,23.49,177,5.83,0
2024-01-02,NODE_01,2,1100,8.13,24.75,177,2.05,1
2024-01-02,NODE_01,2,1110,8.16,21.27,170,2.41,1
2024-01-02,NODE_01,2,1120,7.88,24.51,179,4.29,0
2024-01-02,NODE_01,2,1130,8.04,26.78,181,5.03,0
2024-01-02,NODE_01,2,1140,7.84,23.21,172,2.16,1
2024-01-02,NODE_01,2,1150,7.89,24.39,163,4.86,0
2024-01-02,NODE_01,2,1160,7.89,25.79,181,2.88,1
2024-01-02,NODE_01,2,1170,8.11,24.22,174,1.89,1
2024-01-02,NODE_01,2,1180,7.65,25.72,120,2.68,1
2024-01-02,NODE_01,2,1190,7.94,23.74,171,2.75,1
2024-01-02,NODE_01,2,1200,7.9,25.35,179,5.45,0
2024-01-02,NODE_01,2,1210,7.64,22.12,140,6.5,0
2024-01-02,NODE_01,2,1220,7.45,22.75,141,5.31,0
2024-01-02,NODE_01,2,1230,7.74,25.64,167,5.63,0
2024-01-02,NODE_01,2,1240,7.46,23.4,139,2.45,1
2024-01-02,NODE_01,2,1250,8.16,22.65,124,2.86,1
2024-01-02,NODE_01,2,1260,7.15,23.78,129,5.95,0
2024-01-02,NODE_01,2,1270,7.68,26.14,164,5.77,0
2024-01-02,NODE_01,2,1280,8.02,21.6,121,6.45,0
2024-01-02,NODE_01,2,1290,7.82,24.03,135,2.34,1
2024-01-02,NODE_01,2,1300,7.87,22.25,178,5.53,0
2024-01-02,NODE_01,2,1310,8.12,24.73,179,2.94,1
2024-01-02,NODE_01,2,1320,8.09,22.04,176,1.81,1
2024-01-02,NODE_01,2,1330,7.97,23.22,137,2.44,1
2024-01-02,NODE_01,2,1340,8.12,24.64,179,2.4,1
2024-01-02,NODE_01,2,1350,8.11,23.26,190,2.14,1
2024-01-02,NODE_01,2,1360,8.19,22.68,175,6.29,0
2024-01-02,NODE_01,2,1370,7.87,21.78,187,1.62,1
2024-01-02,NODE_01,2,1380,8.13,26.58,174,2.79,1
2024-01-02,NODE_01,2,1390,7.26,23.4,169,2.14,1
2024-01-02,NODE_01,2,1400,7.87,23.65,181,5.41,0
2024-01-02,NODE_01,2,1410,8.1,25.7,174,5.39,0
2024-01-02,NODE_01,2,1420,8.18,24.26,180,2.93,1
2024-01-02,NODE_01,2,1430,7.51,23.35,166,7.4,0
2024-01-03,NODE_01,3,0,7.74,25.57,177,5.28,0
2024-01-03,NODE_01,3,10,8.02,23.35,181,2.06,1
2024-01-03,NODE_01,3,20,7.46,22.21,147,2.84,1
2024-01-03,NODE_01,3,30,7.95,25.23,113,2.35,1
2024-01-03,NODE_01,3,40,7.66,23.37,179,2.96,1
2024-01-03,NODE_01,3,50,7.96,25.04,178,5.74,0
2024-01-03,NODE_01,3,60,7.68,25.23,176,5.86,0
2024-01-03,NODE_01,3,70,7.88,27.5,186,6.13,0
2024-01-03,NODE_01,3,80,8.13,23.11,182,2.58,1
2024-01-03,NODE_01,3,90,7.74,26.08,175,5.51,0
2024-01-03,NODE_01,3,100,7.84,21.77,177,2.26,1
2024-01-03,NODE_01,3,110,7.73,26.19,118,5.44,0
2024-01-03,NODE_01,3,120,8.15,25.85,171,1.88,1
2024-01-03,NODE_01,3,130,7.64,24.16,182,2.78,1
2024-01-03,NODE_01,3,140,8.04,22.97,147,6.15,0
2024-01-03,NODE_01,3,150,7.92,24.0,184,1.87,1
2024-01-03,NODE_01,3,160,7.96,24.98,180,2.56,1
2024-01-03,NODE_01,3,170,7.34,23.76,182,1.91,1
2024-01-03,NODE_01,3,180,7.99,23.93,132,2.32,1
2024-01-03,NODE_01,3,190,7.99,25.05,180,2.37,1
2024-01-03,NODE_01,3,200,7.75,21.48,172,2.2,1
2024-01-03,NODE_01,3,210,8.07,24.58,122,6.77,0
2024-01-03,NODE_01,3,220,8.02,24.19,175,1.91,1
2024-01-03,NODE_01,3,230,8.05,23.78,177,2.16,1
2024-01-03,NODE_01,3,240,7.37,23.76,184,2.14,1
2024-01-03,NODE_01,3,250,7.94,21.84,172,2.45,1
2024-01-03,NODE_01,3,260,7.99,25.27,133,6.69,0
2024-01-03,NODE_01,3,270,7.32,22.71,142,5.02,0
2024-01-03,NODE_01,3,280,7.77,22.63,167,5.54,0
2024-01-03,NODE_01,3,290,7.99,25.46,117,2.68,1
2024-01-03,NODE_01,3,300,7.74,25.09,172,2.53,1
2024-01-03,NODE_01,3,310,7.91,23.93,175,5.26,0
2024-01-03,NODE_01,3,320,7.87,27.5,180,5.14,0
2024-01-03,NODE_01,3,330,7.87,21.97,181,2.53,1
2024-01-03,NODE_01,3,340,7.66,24.72,172,2.17,1
2024-01-03,NODE_01,3,350,7.96,24.58,138,2.68,1
2024-01-03,NODE_01,3,360,7.91,25.33,178,2.3,1
2024-01-03,NODE_01,3,370,8.14,23.01,185,1.91,1
2024-01-03,NODE_01,3,380,8.0,24.28,181,2.6,1
2024-01-03,NODE_01,3,390,7.67,24.77,190,2.35,1
2024-01-03,NODE_01,3,400,7.66,24.17,127,6.08,0
2024-01-03,NODE_01,3,410,8.07,22.17,181,1.75,1
2024-01-03,NODE_01,3,420,8.15,21.85,176,2.36,1
2024-01-03,NODE_01,3,430,7.42,23.32,138,3.34,1
2024-01-03,NODE_01,3,440,7.73,24.55,190,1.94,1
2024-01-03,NODE_01,3,450,8.25,22.6,180,2.67,1
2024-01-03,NODE_01,3,460,8.06,24.94,109,2.46,1
2024-01-03,NODE_01,3,470,7.17,23.02,123,6.74,0
2024-01-03,NODE_01,3,480,8.04,26.29,185,2.0,1
2024-01-03,NODE_01,3,490,7.71,24.34,177,2.05,1
2024-01-03,NODE_01,3,500,7.98,24.79,183,2.22,1
2024-01-03,NODE_01,3,510,7.94,25.26,178,6.27,0
2024-01-03,NODE_01,3,520,7.82,25.37,172,2.15,1
2024-01-03,NODE_01,3,530,7.62,24.37,177,2.4,1
2024-01-03,NODE_01,3,540,8.25,22.97,181,2.69,1
2024-01-03,NODE_01,3,550,8.12,24.16,136,2.38,1
2024-01-03,NODE_01,3,560,7.88,24.98,171,6.6,0
2024-01-03,NODE_01,3,570,7.69,22.23,178,2.48,1
2024-01-03,NODE_01,3,580,8.19,23.6,133,1.9,1
2024-01-03,NODE_01,3,590,7.17,24.49,143,2.57,1
2024-01-03,NODE_01,3,600,8.02,25.98,178,5.89,0
2024-01-03,NODE_01,3,610,7.85,26.35,176,6.01,0
2024-01-03,NODE_01,3,620,7.77,23.69,174,5.09,0
2024-01-03,NODE_01,3,630,7.58,26.04,189,2.11,1
2024-01-03,NODE_01,3,640,7.54,23.96,133,7.09,0
2024-01-03,NODE_01,3,650,7.69,26.22,172,5.71,0
2024-01-03,NODE_01,3,660,7.85,26.97,163,5.11,0
2024-01-03,NODE_01,3,670,7.86,21.98,182,1.56,1
2024-01-03,NODE_01,3,680,7.9,25.08,185,2.49,1
2024-01-03,NODE_01,3,690,7.28,23.83,155,2.62,1
2024-01-03,NODE_01,3,700,7.44,22.32,122,2.46,1
2024-01-03,NODE_01,3,710,7.93,21.85,126,2.73,1
2024-01-03,NODE_01,3,720,7.93,25.89,174,5.84,0
2024-01-03,NODE_01,3,730,7.13,25.93,177,6.67,0
2024-01-03,NODE_01,3,740,7.1,25.16,182,3.02,1
2024-01-03,NODE_01,3,750,8.04,25.49,118,2.35,1
2024-01-03,NODE_01,3,760,7.89,25.65,185,5.78,0
2024-01-03,NODE_01,3,770,7.46,25.69,170,5.74,0
2024-01-03,NODE_01,3,780,8.16,24.49,151,2.56,1
2024-01-03,NODE_01,3,790,8.09,23.59,177,2.53,1
2024-01-03,NODE_01,3,800,7.54,21.92,179,6.64,0
2024-01-03,NODE_01,3,810,7.93,26.21,176,5.69,0
2024-01-03,NODE_01,3,820,8.06,21.72,179,2.49,1
2024-01-03,NODE_01,3,830,7.88,23.49,186,5.87,0
2024-01-03,NODE_01,3,840,7.78,27.5,179,5.34,0
2024-01-03,NODE_01,3,850,7.36,23.25,133,6.6,0
2024-01-03,NODE_01,3,860,8.22,23.15,131,2.28,1
2024-01-03,NODE_01,3,870,7.64,23.22,180,2.04,1
2024-01-03,NODE_01,3,880,7.75,25.3,178,2.15,1
2024-01-03,NODE_01,3,890,8.23,22.82,176,2.47,1
2024-01-03,NODE_01,3,900,7.63,25.56,174,1.63,1
2024-01-03,NODE_01,3,910,8.01,23.56,168,6.52,0
2024-01-03,NODE_01,3,920,8.03,24.75,130,2.19,1
2024-01-03,NODE_01,3,930,8.01,23.54,133,2.12,1
2024-01-03,NODE_01,3,940,7.47,24.14,165,2.46,1
2024-01-03,NODE_01,3,950,7.96,22.93,154,2.11,1
2024-01-03,NODE_01,3,960,7.87,24.17,190,6.08,0
2024-01-03,NODE_01,3,970,7.87,23.64,178,5.36,0
2024-01-03,NODE_01,3,980,8.02,23.39,178,2.03,1
2024-01-03,NODE_01,3,990,7.84,23.59,179,6.15,0
2024-01-03,NODE_01,3,1000,7.6,25.86,174,2.63,1
2024-01-03,NODE_01,3,1010,8.14,24.06,170,1.66,1
2024-01-03,NODE_01,3,1020,8.07,24.42,123,2.08,1
2024-01-03,NODE_01,3,1030,7.53,23.99,183,1.35,1
2024-01-03,NODE_01,3,1040,8.15,23.78,179,2.18,1
2024-01-03,NODE_01,3,1050,8.02,21.72,176,2.95,1
2024-01-03,NODE_01,3,1060,7.97,25.31,187,1.73,1
2024-01-03,NODE_01,3,1070,7.69,20.51,179,2.28,1
2024-01-03,NODE_01,3,1080,7.85,26.0,120,2.75,1
2024-01-03,NODE_01,3,1090,8.06,24.79,175,2.34,1
2024-01-03,NODE_01,3,1100,7.97,20.75,175,2.52,1
2024-01-03,NODE_01,3,1110,7.92,23.53,168,2.3,1
2024-01-03,NODE_01,3,1120,8.05,24.44,186,2.35,1
2024-01-03,NODE_01,3,1130,8.37,22.74,182,1.28,1
2024-01-03,NODE_01,3,1140,7.91,22.72,183,5.76,0
2024-01-03,NODE_01,3,1150,7.78,26.04,185,5.24,0
2024-01-03,NODE_01,3,1160,7.57,21.85,146,7.22,0
2024-01-03,NODE_01,3,1170,7.79,23.57,190,6.09,0
2024-01-03,NODE_01,3,1180,7.67,24.89,183,1.97,1
2024-01-03,NODE_01,3,1190,8.08,24.63,172,2.31,1
2024-01-03,NODE_01,3,1200,7.89,22.68,183,2.22,1
2024-01-03,NODE_01,3,1210,8.0,24.9,170,2.61,1
2024-01-03,NODE_01,3,1220,7.61,24.56,167,5.86,0
2024-01-03,NODE_01,3,1230,8.12,26.38,178,2.3,1
2024-01-03,NODE_01,3,1240,8.27,22.98,172,2.29,1
2024-01-03,NODE_01,3,1250,8.21,25.89,124,3.33,1
2024-01-03,NODE_01,3,1260,7.77,20.51,172,2.7,1
2024-01-03,NODE_01,3,1270,8.05,27.11,185,2.44,1
2024-01-03,NODE_01,3,1280,7.81,21.13,178,5.76,0
