date,node_id,day_of_simulation,time_of_day_min,pH,temperature_C,TDS_mgl,DO_mgl,label,anomaly_type
2025-01-01,NODE_01,1,760,7.19,22.92,1398,4.8,1,AC1_TDS_only
2025-01-01,NODE_01,1,770,7.6,24.08,198,1.58,1,AC1_DO_only
2025-01-01,NODE_01,1,780,8.74,24.42,82,4.05,1,AC1_pH_high_only
2025-01-01,NODE_01,1,790,5.6,24.49,82,2.63,1,AC2_DO_pH
2025-01-01,NODE_01,1,800,7.53,24.18,92,3.92,1,AC1_DO_only
2025-01-01,NODE_01,1,810,6.5,22.93,82,2.29,1,AC1_DO_only
2025-01-01,NODE_01,1,820,7.64,23.06,82,2.3,1,AC1_DO_only
2025-01-01,NODE_01,1,830,7.65,25.78,142,3.88,1,AC1_DO_only
2025-01-01,NODE_01,1,840,5.72,23.31,82,1.38,1,AC2_DO_pH
2025-01-01,NODE_01,1,850,7.76,22.68,95,2.47,1,AC1_DO_only
2025-01-01,NODE_01,1,860,8.26,24.2,141,3.8,1,AC1_DO_only
2025-01-01,NODE_01,1,870,8.11,23.2,83,5.42,0,normal
2025-01-01,NODE_01,1,880,5.2,27.57,128,2.95,1,AC2_DO_pH
2025-01-01,NODE_01,1,890,8.59,26.82,157,1.16,1,AC2_DO_pH
2025-01-01,NODE_01,1,900,6.6,25.02,82,5.64,0,normal
2025-01-01,NODE_01,1,910,8.78,25.38,82,3.21,1,AC2_DO_pH
2025-01-01,NODE_01,1,920,7.52,29.15,139,6.6,0,normal
2025-01-01,NODE_01,1,930,8.31,24.89,194,6.03,0,normal
2025-01-01,NODE_01,1,940,6.44,25.19,832,2.15,1,AC1_DO_only
2025-01-01,NODE_01,1,950,8.55,24.82,87,1.61,1,AC2_DO_pH
2025-01-01,NODE_01,1,960,7.98,25.73,139,4.16,0,normal
2025-01-01,NODE_01,1,970,6.75,23.81,182,5.27,0,normal
2025-01-01,NODE_01,1,980,6.14,23.85,111,5.03,0,normal
2025-01-01,NODE_01,1,990,7.38,23.27,82,4.56,0,normal
2025-01-01,NODE_01,1,1000,8.43,29.96,187,4.45,0,normal
2025-01-01,NODE_01,1,1010,7.1,22.84,192,5.83,0,normal
2025-01-01,NODE_01,1,1020,7.55,24.95,1217,5.52,1,AC1_TDS_only
2025-01-01,NODE_01,1,1030,5.93,25.01,233,2.86,1,AC2_DO_pH
2025-01-01,NODE_01,1,1040,7.92,25.12,1333,4.71,1,AC1_TDS_only
2025-01-01,NODE_01,1,1050,7.01,25.1,238,2.85,1,AC1_DO_only
2025-01-01,NODE_01,1,1060,5.86,25.2,82,1.12,1,AC2_DO_pH
2025-01-01,NODE_01,1,1070,6.85,23.86,188,5.43,0,normal
2025-01-01,NODE_01,1,1080,5.85,24.53,162,5.62,1,AC1_pH_low_only
2025-01-01,NODE_01,1,1090,7.91,25.45,1400,5.28,1,AC1_TDS_only
2025-01-01,NODE_01,1,1100,5.23,25.57,658,5.97,1,AC1_pH_low_only
2025-01-01,NODE_01,1,1110,7.17,23.56,897,4.3,0,normal
2025-01-01,NODE_01,1,1120,8.38,24.32,82,4.55,0,normal
2025-01-01,NODE_01,1,1130,7.45,22.67,82,6.06,0,normal
2025-01-01,NODE_01,1,1140,7.92,26.01,184,5.94,0,normal
2025-01-01,NODE_01,1,1150,7.42,25.66,82,5.13,0,normal
2025-01-01,NODE_01,1,1160,8.14,20.51,125,5.7,0,normal
2025-01-01,NODE_01,1,1170,5.2,24.22,121,4.62,1,AC1_pH_low_only
2025-01-01,NODE_01,1,1180,7.1,24.11,173,6.02,0,normal
2025-01-01,NODE_01,1,1190,8.86,29.6,82,6.47,1,AC1_pH_high_only
2025-01-01,NODE_01,1,1200,7.33,26.93,215,5.27,0,normal
2025-01-01,NODE_01,1,1210,7.81,23.86,145,4.48,0,normal
2025-01-01,NODE_01,1,1220,8.17,24.51,82,4.87,0,normal
2025-01-01,NODE_01,1,1230,5.2,27.09,90,2.94,1,AC2_DO_pH
2025-01-01,NODE_01,1,1240,7.23,26.07,172,1.7,1,AC1_DO_only
2025-01-01,NODE_01,1,1250,8.23,25.0,140,1.12,1,AC1_DO_only
2025-01-01,NODE_01,1,1260,7.44,25.06,876,6.0,0,normal
2025-01-01,NODE_01,1,1270,8.15,25.38,151,4.99,0,normal
2025-01-01,NODE_01,1,1280,7.63,24.07,206,5.39,0,normal
2025-01-01,NODE_01,1,1290,6.8,24.55,248,1.54,1,AC1_DO_only
2025-01-01,NODE_01,1,1300,7.79,24.21,208,5.61,0,normal
2025-01-01,NODE_01,1,1310,7.34,27.27,104,3.35,1,AC1_DO_only
2025-01-01,NODE_01,1,1320,7.35,28.18,216,6.33,0,normal
2025-01-01,NODE_01,1,1330,9.0,24.83,99,4.86,1,AC1_pH_high_only
2025-01-01,NODE_01,1,1340,7.18,23.07,236,4.74,0,normal
2025-01-01,NODE_01,1,1350,6.61,29.02,113,2.04,1,AC1_DO_only
2025-01-01,NODE_01,1,1360,7.28,23.95,141,4.19,0,normal
2025-01-01,NODE_01,1,1370,7.15,24.34,802,5.35,0,normal
2025-01-01,NODE_01,1,1380,7.76,25.68,137,4.66,0,normal
2025-01-01,NODE_01,1,1390,5.2,25.06,111,4.87,1,AC1_pH_low_only
2025-01-01,NODE_01,1,1400,8.33,30.1,82,1.12,1,AC1_DO_only
2025-01-01,NODE_01,1,1410,7.89,26.07,267,5.25,0,normal
2025-01-01,NODE_01,1,1420,5.47,25.23,126,1.43,1,AC2_DO_pH
2025-01-01,NODE_01,1,1430,8.69,24.83,82,5.34,1,AC1_pH_high_only
2025-01-02,NODE_01,2,0,7.64,25.23,137,2.79,1,AC1_DO_only
2025-01-02,NODE_01,2,10,8.76,25.05,190,5.88,1,AC1_pH_high_only
2025-01-02,NODE_01,2,20,6.89,29.43,120,1.57,1,AC1_DO_only
2025-01-02,NODE_01,2,30,7.02,24.95,82,5.45,0,normal
2025-01-02,NODE_01,2,40,7.74,25.31,88,2.52,1,AC1_DO_only
2025-01-02,NODE_01,2,50,7.94,23.11,150,4.24,0,normal
2025-01-02,NODE_01,2,60,7.0,21.9,104,4.81,0,normal
2025-01-02,NODE_01,2,70,8.16,30.01,84,4.86,0,normal
2025-01-02,NODE_01,2,80,7.44,24.59,109,6.33,0,normal
2025-01-02,NODE_01,2,90,5.2,23.52,82,4.47,1,AC1_pH_low_only
2025-01-02,NODE_01,2,100,8.23,23.6,122,1.27,1,AC1_DO_only
2025-01-02,NODE_01,2,110,8.27,25.4,107,6.63,0,normal
2025-01-02,NODE_01,2,120,6.67,25.46,97,5.5,0,normal
2025-01-02,NODE_01,2,130,6.84,24.74,82,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,140,7.66,25.41,83,5.27,0,normal
2025-01-02,NODE_01,2,150,6.75,23.41,185,5.68,0,normal
2025-01-02,NODE_01,2,160,7.78,25.32,82,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,170,7.85,25.75,82,5.69,0,normal
2025-01-02,NODE_01,2,180,8.7,25.62,220,4.45,1,AC1_pH_high_only
2025-01-02,NODE_01,2,190,7.22,28.52,156,2.01,1,AC1_DO_only
2025-01-02,NODE_01,2,200,8.55,23.9,232,2.38,1,AC2_DO_pH
2025-01-02,NODE_01,2,210,6.79,23.63,82,5.94,0,normal
2025-01-02,NODE_01,2,220,5.2,23.18,97,4.5,1,AC1_pH_low_only
2025-01-02,NODE_01,2,230,7.61,24.16,258,3.79,1,AC1_DO_only
2025-01-02,NODE_01,2,240,7.82,24.55,82,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,250,7.7,23.73,307,4.51,0,normal
2025-01-02,NODE_01,2,260,7.44,23.61,220,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,270,7.58,25.68,127,5.16,0,normal
2025-01-02,NODE_01,2,280,7.54,25.89,115,4.92,0,normal
2025-01-02,NODE_01,2,290,6.75,27.95,82,2.64,1,AC1_DO_only
2025-01-02,NODE_01,2,300,7.89,24.62,212,4.39,0,normal
2025-01-02,NODE_01,2,310,5.2,30.1,82,5.28,1,AC1_pH_low_only
2025-01-02,NODE_01,2,320,7.92,23.98,198,4.62,0,normal
2025-01-02,NODE_01,2,330,8.21,25.42,82,4.78,0,normal
2025-01-02,NODE_01,2,340,7.76,25.72,106,4.17,0,normal
2025-01-02,NODE_01,2,350,7.38,28.32,138,5.48,0,normal
2025-01-02,NODE_01,2,360,5.42,24.03,161,1.83,1,AC2_DO_pH
2025-01-02,NODE_01,2,370,7.87,22.53,230,4.1,0,normal
2025-01-02,NODE_01,2,380,7.85,24.11,82,4.91,0,normal
2025-01-02,NODE_01,2,390,5.57,24.84,82,4.5,1,AC1_pH_low_only
2025-01-02,NODE_01,2,400,8.51,23.8,82,5.42,1,AC1_pH_high_only
2025-01-02,NODE_01,2,410,8.4,27.28,236,4.37,0,normal
2025-01-02,NODE_01,2,420,7.65,29.99,82,5.68,0,normal
2025-01-02,NODE_01,2,430,5.79,24.63,279,4.69,1,AC1_pH_low_only
2025-01-02,NODE_01,2,440,6.96,25.15,128,6.04,0,normal
2025-01-02,NODE_01,2,450,8.66,24.73,126,4.34,1,AC1_pH_high_only
2025-01-02,NODE_01,2,460,8.19,25.25,112,4.14,0,normal
2025-01-02,NODE_01,2,470,7.63,23.07,120,5.63,0,normal
2025-01-02,NODE_01,2,480,7.8,29.51,135,5.6,0,normal
2025-01-02,NODE_01,2,490,7.15,26.16,82,2.28,1,AC1_DO_only
2025-01-02,NODE_01,2,500,6.24,26.12,82,2.67,1,AC1_DO_only
2025-01-02,NODE_01,2,510,7.56,29.5,147,3.95,1,AC1_DO_only
2025-01-02,NODE_01,2,520,7.36,23.77,199,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,530,5.2,23.87,82,3.97,1,AC2_DO_pH
2025-01-02,NODE_01,2,540,7.47,24.53,1029,6.41,1,AC1_TDS_only
2025-01-02,NODE_01,2,550,8.07,24.48,84,3.87,1,AC1_DO_only
2025-01-02,NODE_01,2,560,7.31,25.17,149,2.77,1,AC1_DO_only
2025-01-02,NODE_01,2,570,7.12,22.11,134,5.65,0,normal
2025-01-02,NODE_01,2,580,6.45,24.89,115,2.69,1,AC1_DO_only
2025-01-02,NODE_01,2,590,7.36,25.42,82,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,600,8.62,24.4,164,6.19,1,AC1_pH_high_only
2025-01-02,NODE_01,2,610,5.22,26.1,82,1.12,1,AC2_DO_pH
2025-01-02,NODE_01,2,620,7.04,24.63,113,3.99,1,AC1_DO_only
2025-01-02,NODE_01,2,630,7.5,24.36,82,2.11,1,AC1_DO_only
2025-01-02,NODE_01,2,640,7.18,23.8,183,5.68,0,normal
2025-01-02,NODE_01,2,650,7.98,30.1,82,6.93,0,normal
2025-01-02,NODE_01,2,660,8.34,23.9,977,4.16,0,normal
2025-01-02,NODE_01,2,670,7.83,26.67,115,2.58,1,AC1_DO_only
2025-01-02,NODE_01,2,680,8.32,24.96,188,4.56,0,normal
2025-01-02,NODE_01,2,690,7.69,24.67,256,4.91,0,normal
2025-01-02,NODE_01,2,700,5.2,23.28,186,5.28,1,AC1_pH_low_only
2025-01-02,NODE_01,2,710,8.08,27.49,107,4.66,0,normal
2025-01-02,NODE_01,2,720,6.77,21.89,150,2.3,1,AC1_DO_only
2025-01-02,NODE_01,2,730,7.48,27.69,82,5.84,0,normal
2025-01-02,NODE_01,2,740,7.28,25.13,82,7.07,0,normal
2025-01-02,NODE_01,2,750,9.0,25.08,199,4.92,1,AC1_pH_high_only
2025-01-02,NODE_01,2,760,5.27,23.74,114,5.03,1,AC1_pH_low_only
2025-01-02,NODE_01,2,770,6.52,22.17,82,5.81,0,normal
2025-01-02,NODE_01,2,780,8.71,27.05,132,1.98,1,AC2_DO_pH
2025-01-02,NODE_01,2,790,6.67,23.21,164,5.71,0,normal
2025-01-02,NODE_01,2,800,5.2,24.87,129,6.05,1,AC1_pH_low_only
2025-01-02,NODE_01,2,810,5.47,23.5,765,4.9,1,AC1_pH_low_only
2025-01-02,NODE_01,2,820,7.12,26.21,82,5.72,0,normal
2025-01-02,NODE_01,2,830,7.52,24.23,82,4.54,0,normal
2025-01-02,NODE_01,2,840,8.69,25.39,138,4.97,1,AC1_pH_high_only
2025-01-02,NODE_01,2,850,7.24,25.81,230,5.05,0,normal
2025-01-02,NODE_01,2,860,5.2,27.64,326,1.71,1,AC2_DO_pH
2025-01-02,NODE_01,2,870,7.41,24.55,113,3.81,1,AC1_DO_only
2025-01-02,NODE_01,2,880,7.61,23.51,106,5.95,0,normal
2025-01-02,NODE_01,2,890,7.95,24.9,1400,5.06,1,AC1_TDS_only
2025-01-02,NODE_01,2,900,8.08,23.43,182,5.32,0,normal
2025-01-02,NODE_01,2,910,7.68,26.21,82,1.37,1,AC1_DO_only
2025-01-02,NODE_01,2,920,7.87,22.99,111,4.09,0,normal
2025-01-02,NODE_01,2,930,7.7,25.31,130,1.53,1,AC1_DO_only
2025-01-02,NODE_01,2,940,7.35,22.84,1400,6.05,1,AC1_TDS_only
2025-01-02,NODE_01,2,950,7.88,25.62,193,4.11,0,normal
2025-01-02,NODE_01,2,960,6.13,24.85,198,4.95,0,normal
2025-01-02,NODE_01,2,970,8.93,26.79,152,1.12,1,AC2_DO_pH
2025-01-02,NODE_01,2,980,7.74,23.16,116,2.44,1,AC1_DO_only
2025-01-02,NODE_01,2,990,6.78,24.39,104,5.68,0,normal
2025-01-02,NODE_01,2,1000,7.22,26.16,163,1.37,1,AC1_DO_only
2025-01-02,NODE_01,2,1010,8.39,25.4,82,2.07,1,AC1_DO_only
2025-01-02,NODE_01,2,1020,7.67,24.79,135,1.16,1,AC1_DO_only
2025-01-02,NODE_01,2,1030,8.79,25.95,238,1.94,1,AC2_DO_pH
2025-01-02,NODE_01,2,1040,7.37,24.08,82,5.67,0,normal
2025-01-02,NODE_01,2,1050,7.22,27.17,82,3.26,1,AC1_DO_only
2025-01-02,NODE_01,2,1060,5.95,23.57,203,6.67,1,AC1_pH_low_only
2025-01-02,NODE_01,2,1070,7.66,25.91,82,6.11,0,normal
2025-01-02,NODE_01,2,1080,7.3,23.97,179,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,1090,8.6,25.18,82,4.71,1,AC1_pH_high_only
2025-01-02,NODE_01,2,1100,7.51,26.08,82,5.55,0,normal
2025-01-02,NODE_01,2,1110,7.74,28.84,148,4.46,0,normal
2025-01-02,NODE_01,2,1120,7.33,25.93,99,5.52,0,normal
2025-01-02,NODE_01,2,1130,8.54,24.98,164,3.74,1,AC2_DO_pH
2025-01-02,NODE_01,2,1140,6.87,23.84,82,3.29,1,AC1_DO_only
2025-01-02,NODE_01,2,1150,8.74,25.18,82,5.04,1,AC1_pH_high_only
2025-01-02,NODE_01,2,1160,6.62,28.51,82,4.98,0,normal
2025-01-02,NODE_01,2,1170,8.24,24.75,158,1.61,1,AC1_DO_only
2025-01-02,NODE_01,2,1180,7.24,24.22,82,4.79,0,normal
2025-01-02,NODE_01,2,1190,7.77,24.05,240,6.47,0,normal
2025-01-02,NODE_01,2,1200,5.36,25.28,187,1.49,1,AC2_DO_pH
2025-01-02,NODE_01,2,1210,6.84,23.59,102,6.0,0,normal
2025-01-02,NODE_01,2,1220,8.58,24.18,82,3.8,1,AC2_DO_pH
2025-01-02,NODE_01,2,1230,5.2,29.45,121,3.23,1,AC2_DO_pH
2025-01-02,NODE_01,2,1240,7.84,24.92,82,7.03,0,normal
2025-01-02,NODE_01,2,1250,8.95,29.29,82,4.01,1,AC1_pH_high_only
2025-01-02,NODE_01,2,1260,7.41,24.31,82,4.62,0,normal
2025-01-02,NODE_01,2,1270,8.62,24.78,82,5.45,1,AC1_pH_high_only
2025-01-02,NODE_01,2,1280,7.85,23.77,82,4.89,0,normal
2025-01-02,NODE_01,2,1290,7.54,26.65,138,5.96,0,normal
2025-01-02,NODE_01,2,1300,7.1,24.99,115,1.74,1,AC1_DO_only
2025-01-02,NODE_01,2,1310,8.13,25.62,82,5.69,0,normal
2025-01-02,NODE_01,2,1320,6.34,24.36,108,7.32,0,normal
2025-01-02,NODE_01,2,1330,7.69,22.77,189,2.65,1,AC1_DO_only
2025-01-02,NODE_01,2,1340,7.09,28.59,689,1.12,1,AC1_DO_only
2025-01-02,NODE_01,2,1350,6.72,23.39,120,6.74,0,normal
2025-01-02,NODE_01,2,1360,5.2,22.15,155,1.12,1,AC2_DO_pH
2025-01-02,NODE_01,2,1370,8.53,25.45,105,1.49,1,AC2_DO_pH
2025-01-02,NODE_01,2,1380,8.39,24.06,165,2.33,1,AC1_DO_only
2025-01-02,NODE_01,2,1390,8.89,25.76,99,4.43,1,AC1_pH_high_only
2025-01-02,NODE_01,2,1400,6.96,23.01,82,2.37,1,AC1_DO_only
2025-01-02,NODE_01,2,1410,7.61,24.25,82,5.36,0,normal
2025-01-02,NODE_01,2,1420,7.3,23.44,192,1.43,1,AC1_DO_only
2025-01-02,NODE_01,2,1430,6.99,24.6,82,6.2,0,normal
2025-01-03,NODE_01,3,0,8.38,28.82,874,2.52,1,AC1_DO_only
2025-01-03,NODE_01,3,10,7.08,24.61,82,1.61,1,AC1_DO_only
2025-01-03,NODE_01,3,20,7.68,23.7,256,6.38,0,normal
2025-01-03,NODE_01,3,30,6.95,29.02,82,2.65,1,AC1_DO_only
2025-01-03,NODE_01,3,40,7.3,23.32,144,5.34,0,normal
2025-01-03,NODE_01,3,50,8.27,20.62,211,1.96,1,AC1_DO_only
2025-01-03,NODE_01,3,60,7.25,25.68,82,1.36,1,AC1_DO_only
2025-01-03,NODE_01,3,70,8.38,25.39,170,4.18,0,normal
2025-01-03,NODE_01,3,80,7.12,24.37,95,6.19,0,normal
2025-01-03,NODE_01,3,90,7.06,23.5,156,5.25,0,normal
2025-01-03,NODE_01,3,100,5.36,24.23,85,2.35,1,AC2_DO_pH
2025-01-03,NODE_01,3,110,8.64,25.31,282,5.85,1,AC1_pH_high_only
2025-01-03,NODE_01,3,120,8.13,26.14,144,2.26,1,AC1_DO_only
2025-01-03,NODE_01,3,130,7.54,24.58,203,1.12,1,AC1_DO_only
2025-01-03,NODE_01,3,140,7.42,24.4,95,4.45,0,normal
2025-01-03,NODE_01,3,150,8.15,22.85,115,4.82,0,normal
2025-01-03,NODE_01,3,160,7.97,24.54,136,5.14,0,normal
2025-01-03,NODE_01,3,170,5.2,23.15,94,5.96,1,AC1_pH_low_only
2025-01-03,NODE_01,3,180,6.04,24.67,1400,1.91,1,AC2_DO_TDS
2025-01-03,NODE_01,3,190,7.57,25.22,82,1.38,1,AC1_DO_only
2025-01-03,NODE_01,3,200,7.91,24.29,898,4.21,0,normal
2025-01-03,NODE_01,3,210,8.2,24.16,270,5.73,0,normal
2025-01-03,NODE_01,3,220,6.8,25.28,82,6.39,0,normal
2025-01-03,NODE_01,3,230,7.47,29.3,82,5.06,0,normal
2025-01-03,NODE_01,3,240,6.78,25.62,1325,5.61,1,AC1_TDS_only
2025-01-03,NODE_01,3,250,7.68,24.36,83,4.26,0,normal
2025-01-03,NODE_01,3,260,7.81,29.34,1179,6.85,1,AC1_TDS_only
2025-01-03,NODE_01,3,270,6.69,22.92,82,6.95,0,normal
2025-01-03,NODE_01,3,280,7.65,23.6,254,4.94,0,normal
2025-01-03,NODE_01,3,290,6.98,24.18,897,7.06,0,normal
2025-01-03,NODE_01,3,300,8.89,25.29,82,5.02,1,AC1_pH_high_only
2025-01-03,NODE_01,3,310,5.5,25.14,82,1.12,1,AC2_DO_pH
2025-01-03,NODE_01,3,320,7.43,22.73,281,4.89,0,normal
2025-01-03,NODE_01,3,330,7.43,23.71,257,5.46,0,normal
2025-01-03,NODE_01,3,340,6.66,23.88,121,6.41,0,normal
2025-01-03,NODE_01,3,350,7.14,24.92,157,6.64,0,normal
2025-01-03,NODE_01,3,360,6.92,22.61,108,1.12,1,AC1_DO_only
2025-01-03,NODE_01,3,370,7.75,23.58,82,1.12,1,AC1_DO_only
2025-01-03,NODE_01,3,380,5.2,23.92,82,3.36,1,AC2_DO_pH
2025-01-03,NODE_01,3,390,6.87,25.13,82,4.88,0,normal
2025-01-03,NODE_01,3,400,6.8,24.82,82,1.99,1,AC1_DO_only
2025-01-03,NODE_01,3,410,6.81,25.95,229,2.47,1,AC1_DO_only
2025-01-03,NODE_01,3,420,8.38,25.63,82,3.03,1,AC1_DO_only
2025-01-03,NODE_01,3,430,6.96,25.53,82,1.12,1,AC1_DO_only
2025-01-03,NODE_01,3,440,7.54,24.58,135,5.22,0,normal
2025-01-03,NODE_01,3,450,8.03,24.54,82,6.53,0,normal
2025-01-03,NODE_01,3,460,7.63,22.46,82,5.37,0,normal
2025-01-03,NODE_01,3,470,7.42,23.02,82,2.25,1,AC1_DO_only
2025-01-03,NODE_01,3,480,5.45,24.07,103,4.83,1,AC1_pH_low_only
2025-01-03,NODE_01,3,490,7.02,22.95,138,5.12,0,normal
2025-01-03,NODE_01,3,500,6.99,23.79,294,6.04,0,normal
2025-01-03,NODE_01,3,510,5.76,24.99,82,2.09,1,AC2_DO_pH
2025-01-03,NODE_01,3,520,6.35,24.78,1004,2.16,1,AC2_DO_TDS
2025-01-03,NODE_01,3,530,8.17,24.16,140,2.19,1,AC1_DO_only
2025-01-03,NODE_01,3,540,7.45,24.93,141,6.71,0,normal
2025-01-03,NODE_01,3,550,7.42,25.73,272,2.98,1,AC1_DO_only
2025-01-03,NODE_01,3,560,8.4,23.61,82,4.28,0,normal
2025-01-03,NODE_01,3,570,5.2,25.79,85,1.3,1,AC2_DO_pH
2025-01-03,NODE_01,3,580,5.2,25.2,82,4.8,1,AC1_pH_low_only
2025-01-03,NODE_01,3,590,7.64,25.06,82,2.18,1,AC1_DO_only
